,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
0,Fox News,BREAKING: Federal appeals court rules against Trump administration on DACA https://t.co/KHnrNvEKAM,Thu Nov 08 19:18:44 +0000 2018,0.0,0.0,1.0,0.0
1,Fox News,"Breaking News: Grand jury indicts captain of Missouri duck boat that sank in severe weather, killing 17 people https://t.co/ffOOgzRwdo",Thu Nov 08 17:02:25 +0000 2018,-0.6124,0.115,0.615,0.269
2,Fox News,"JUST IN: Police identify gunman who opened fire inside California bar, killing 12 https://t.co/PvITYr54AX",Thu Nov 08 15:14:45 +0000 2018,-0.7783,0.0,0.638,0.362
3,Fox News,JUST IN: Supreme Court Justice Ruth Bader Ginsburg fractures 3 ribs in fall https://t.co/9UM9hKTz4m,Thu Nov 08 14:22:51 +0000 2018,0.7906,0.389,0.611,0.0
4,Fox News,"Sgt. Ron Helus was fatally shot when he responded to the mass shooting on Nov. 7 at a bar in Thousand Oaks, Califor… https://t.co/vOH3OWPN5S",Thu Nov 08 13:43:25 +0000 2018,-0.6369,0.0,0.833,0.167
5,Fox News,Tom Homan: “It’s a tragedy each and every time.” https://t.co/dMV68Hfdz0 https://t.co/hrq51VJg7x,Thu Nov 08 13:35:03 +0000 2018,-0.6597,0.0,0.672,0.328
6,Fox News,"People walk away from the scene in Thousand Oaks, Calif. where a gunman opened fire Wednesday.… https://t.co/O3Oo2iLL8O",Thu Nov 08 13:22:27 +0000 2018,-0.34,0.0,0.862,0.138
7,Fox News,Teylor Whittler describes what she witnessed at California bar shooting https://t.co/dMV68Hfdz0 https://t.co/YznTZgQoYY,Thu Nov 08 12:56:20 +0000 2018,0.0,0.0,1.0,0.0
8,Fox News,"An FBI agent talks to a potential witness as they stand near the scene in Thousand Oaks, Calif. where a gunman open… https://t.co/7QOmXNTYM0",Thu Nov 08 12:37:05 +0000 2018,0.0,0.0,1.0,0.0
9,Fox News,Ventura County Fire Department Captain Stan Ziegler: “Hundreds of first responders responded initially to the scene… https://t.co/o4gArhmy4e,Thu Nov 08 12:25:14 +0000 2018,-0.34,0.0,0.87,0.13
10,Fox News,"People comfort each other as they stand near the scene in Thousand Oaks, Calif. where a gunman opened fire during a… https://t.co/wPI4XSpirC",Thu Nov 08 12:06:14 +0000 2018,0.0258,0.105,0.795,0.1
11,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/dMV68Hfdz0 https://t.co/WvjarPpwPV",Thu Nov 08 11:54:22 +0000 2018,-0.6486,0.0,0.736,0.264
12,Fox News,"California bar shooting leaves 12 dead, including sheriff's sergeant, police say https://t.co/GqI77wMuYZ",Thu Nov 08 11:38:17 +0000 2018,-0.6486,0.0,0.719,0.281
13,Fox News,"Sheriff's deputies speak to potential witnesses as they stand near the scene in Thousand Oaks, Calif., where a gunm… https://t.co/jPE8k9oQHr",Thu Nov 08 11:32:26 +0000 2018,0.0,0.0,1.0,0.0
14,Fox News,13 dead in country music bar including gunman https://t.co/PvITYr54AX https://t.co/UURBIatqte,Thu Nov 08 11:26:46 +0000 2018,-0.6486,0.0,0.677,0.323
15,Fox News,"12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/PvITYr54AX https://t.co/o8Nf8WuJcZ",Thu Nov 08 11:18:08 +0000 2018,-0.6486,0.0,0.719,0.281
16,Fox News,"Breaking News: At least 12 dead in shooting at Thousand Oaks nightclub, police say https://t.co/u6sVxdzHq5",Thu Nov 08 11:13:32 +0000 2018,-0.6486,0.0,0.765,0.235
17,Fox News,.@CarleyShimkus is live with the ‘Fox News Update’ on Facebook Watch: https://t.co/hNrB8xzepH https://t.co/cQ9uxkjUIK,Thu Nov 08 11:12:14 +0000 2018,0.0,0.0,1.0,0.0
18,Fox News,"Authorities deliver an update on the shooting in Thousand Oaks, California. (Courtesy: KABC) https://t.co/BtGxxIfNx5",Thu Nov 08 10:53:33 +0000 2018,0.0,0.0,1.0,0.0
19,Fox News,Pastor Dimas Salaberrios on California shooting: “My immediate thoughts go out to the families. Because what’s happ… https://t.co/iowf5VOL2l,Thu Nov 08 10:36:12 +0000 2018,0.0,0.0,1.0,0.0
20,CNN,"Lyft is suing the New York City Taxi and Limousine Commission over its first-of-a-kind driver minimum wage law, cla… https://t.co/EUszWOgraW",Thu Jan 31 04:16:05 +0000 2019,-0.2732,0.0,0.9,0.1
21,CNN,It's been so cold in Chicago that workers set fire to railroad tracks just to keep the trains moving. The extreme c… https://t.co/RR2EsdBoYB,Thu Jan 31 04:04:12 +0000 2019,-0.34,0.0,0.902,0.098
22,CNN,Domino's is chasing new clients by rewarding them for eating pizza — even if they buy it from a competitor… https://t.co/JZadNuYE50,Thu Jan 31 04:01:02 +0000 2019,0.5267,0.159,0.841,0.0
23,CNN,Dog-walking has reportedly been banned from public places in Iran's capital https://t.co/GYoMPeRFEh,Thu Jan 31 03:46:06 +0000 2019,-0.4588,0.0,0.786,0.214
24,CNN,"Talks with North Korea's top negotiator ""got nowhere"" on denuclearization, sources say https://t.co/QRomfEUWi9 https://t.co/Y3xFT4E8iy",Thu Jan 31 03:36:03 +0000 2019,0.2023,0.122,0.878,0.0
25,CNN,"Along with regular de-icing of planes before take-off, airlines put their aircraft through rigorous testing in some… https://t.co/X4LKfIrUSC",Thu Jan 31 03:34:18 +0000 2019,-0.2732,0.0,0.89,0.11
26,CNN,President Trump seethed as he watched the highlights of his intelligence chiefs testifying on Capitol Hill and sing… https://t.co/JVhFX2kwJi,Thu Jan 31 03:31:08 +0000 2019,0.4767,0.147,0.853,0.0
27,CNN,"Instead of sugary treats, fatty chips, or high-calorie sodas, a vending machine at this elementary school is filled… https://t.co/xjNqSab1Od",Thu Jan 31 03:31:06 +0000 2019,0.0,0.0,1.0,0.0
28,CNN,"""Our officials are human"": NFL Commissioner Roger Goodell breaks silence on controversial no-call during NFC champi… https://t.co/VMBMzyrVex",Thu Jan 31 03:26:28 +0000 2019,-0.7378,0.0,0.706,0.294
29,CNN,A senior Treasury Department official pleaded not guilty in Manhattan federal court to charges that she disclosed s… https://t.co/iBjmd3poGJ,Thu Jan 31 03:25:39 +0000 2019,0.2575,0.195,0.706,0.099
30,CNN,"Taiwanese electronics giant Foxconn is now planning to recruit workers for a ""technology hub"" in Wisconsin rather t… https://t.co/MksZZjRbuV",Thu Jan 31 03:19:04 +0000 2019,0.0,0.0,1.0,0.0
31,CNN,RT @CuomoPrimeTime: .@chriscuomo to Pres. Trump on his trade policies: Tell the truth. Confront the truth. Realize that there are new chall…,Thu Jan 31 03:18:00 +0000 2019,0.4404,0.182,0.751,0.067
32,CNN,"RT @CuomoPrimeTime: .@ChrisCuomo: If Trump is distorting the facts about national security, his distorted reality is in itself arguably a n…",Thu Jan 31 03:17:50 +0000 2019,-0.5267,0.095,0.635,0.27
33,CNN,"Former Starbucks CEO Howard Schultz was heckled at a book event by a protester: ""Don't help elect Trump!""… https://t.co/vblJKXNwTn",Thu Jan 31 03:16:00 +0000 2019,-0.3716,0.0,0.863,0.137
34,CNN,The House Homeland Security chairman said he would not hesitate to issue a subpoena for Homeland Security Secretary… https://t.co/En9RgIv6zJ,Thu Jan 31 03:08:34 +0000 2019,0.6822,0.306,0.694,0.0
35,CNN,"RT @CuomoPrimeTime: Fmr NJ @GovChristie slams Jared Kushner, Rick Dearborn and Steve Bannon for surrounding Pres. Trump with the wrong peop…",Thu Jan 31 03:05:16 +0000 2019,-0.4767,0.0,0.866,0.134
36,CNN,1 number that proves the shutdown was a GOP disaster | Analysis by @CillizzaCNN https://t.co/rhHtNCI4GW https://t.co/SADf74W2Xx,Thu Jan 31 02:58:05 +0000 2019,-0.5859,0.079,0.671,0.25
37,CNN,The Trump administration is facing two big deadlines Friday in response to a Health and Human Services inspector ge… https://t.co/MDDUm0iwcw,Thu Jan 31 02:48:05 +0000 2019,0.0,0.0,1.0,0.0
38,CNN,FBI and Air Force investigators modified computer servers to collect information about a network of devices infecte… https://t.co/SQmslD7Qgr,Thu Jan 31 02:39:44 +0000 2019,0.0,0.0,1.0,0.0
39,CNN,"RT @AC360: Tonight, on the #TheRidiculist, @andersoncooper stands by President Trump: ""What the hell is going on with Global Waming?"" https…",Thu Jan 31 02:39:39 +0000 2019,-0.6808,0.0,0.813,0.187
40,BBC News (World),Sarah Sanders says 'God wanted Trump to be president' https://t.co/9MYrKKOMiJ,Thu Jan 31 02:27:48 +0000 2019,0.2732,0.189,0.811,0.0
41,BBC News (World),Sports betting: are Ugandans hooked on it? https://t.co/Mkqn33wFuZ,Thu Jan 31 01:39:27 +0000 2019,0.0,0.0,1.0,0.0
42,BBC News (World),Letter from Africa: The fashion faux pas of bullet-proof vests https://t.co/RIztBhizDL,Thu Jan 31 00:39:00 +0000 2019,0.0,0.0,1.0,0.0
